Title,Movie Link,Year,Duration,MPA,Rating,Votes
Chandu Champion,https://www.imdb.com/title/tt27470893/?ref_=sr_t_550,2024,2h 22m,,7.8,33K
Chief of Station,https://www.imdb.com/title/tt21301418/?ref_=sr_t_506,2024,1h 37m,,4.7,3.9K
ChiefsAholic: A Wolf in Chiefs Clothing,https://www.imdb.com/title/tt32367912/?ref_=sr_t_396,2024,2h 1m,,6.3,213
Christmas Eve in Miller's Point,https://www.imdb.com/title/tt25052668/?ref_=sr_t_222,2024,1h 46m,PG-13,5.3,1.1K
Christmas at Plumhill Manor,https://www.imdb.com/title/tt32501660/?ref_=sr_t_510,2024,1h 27m,TV-PG,6.1,454
Christmas in the Spotlight,https://www.imdb.com/title/tt33338383/?ref_=sr_t_386,2024,1h 27m,TV-PG,5.8,593
Civil War,https://www.imdb.com/title/tt17279496/?ref_=sr_t_30,2024,1h 49m,R,7.0,210K
Classified,https://www.imdb.com/title/tt27714840/?ref_=sr_t_457,2024,1h 45m,R,3.7,1.6K
Colors of Evil: Red,https://www.imdb.com/title/tt27578157/?ref_=sr_t_560,2024,1h 51m,TV-MA,6.4,7.8K
Conclave,https://www.imdb.com/title/tt20215234/?ref_=sr_t_46,2024,2h,PG,7.4,56K
Crescent City,https://www.imdb.com/title/tt18884172/?ref_=sr_t_573,2024,1h 43m,R,3.9,1.1K
Crew,https://www.imdb.com/title/tt21383812/?ref_=sr_t_152,2024,1h 58m,,5.8,37K
Crossing,https://www.imdb.com/title/tt27417166/?ref_=sr_t_242,2024,1h 46m,,7.5,3.6K
Cuckoo,https://www.imdb.com/title/tt12349832/?ref_=sr_t_94,2024,1h 42m,R,5.8,20K
Culpa Tuya,https://www.imdb.com/title/tt28510079/?ref_=sr_t_329,2024,2h,,5.3,4.4K
Customs Frontline,https://www.imdb.com/title/tt19029666/?ref_=sr_t_231,2024,1h 55m,,5.5,398
Daddy's Head,https://www.imdb.com/title/tt26682012/?ref_=sr_t_504,2024,1h 32m,TV-MA,5.6,3.7K
Dahomey,https://www.imdb.com/title/tt31015216/?ref_=sr_t_238,2024,1h 8m,,6.8,1.7K
Damaged,https://www.imdb.com/title/tt27304026/?ref_=sr_t_516,2024,1h 37m,R,4.7,6.4K
Damsel,https://www.imdb.com/title/tt13452446/?ref_=sr_t_369,2024,1h 50m,PG-13,6.1,104K
Dan Da Dan: First Encounter,https://www.imdb.com/title/tt33343397/?ref_=sr_t_478,2024,1h 23m,,8.2,2.1K
Dandelion,https://www.imdb.com/title/tt22866050/?ref_=sr_t_239,2024,1h 53m,R,5.3,368
Dark Feathers: Dance of the Geisha,https://www.imdb.com/title/tt18566574/?ref_=sr_t_265,2024,1h 33m,PG-13,6.1,641
